Latitude,Longitude,Province,Area,Perimeter,urban,Prefecture,County,geometry
26.4986,99.4311,Yunnan,0.26401768201,4.71509645946,0,NujiangLisu,LanpingBaiandPumi,"POLYGON Z ((99.43097544109533 26.50200021295988 0, 99.43184694829827 26.50157680322745 0, 99.43269674247605 26.50219964905507 0, 99.43458047228374 26.50264869796495 0, 99.43471415457023 26.50243192276228 0, 99.43396003860934 26.50206609641182 0, 99.43299118109078 26.50155844578602 0, 99.43299118006165 26.50128895286852 0, 99.43169340652884 26.4997451433237 0, 99.43083520813906 26.50101945325292 0, 99.42975724437841 26.50101945294597 0, 99.42975724405342 26.50048048170642 0, 99.43002673448109 26.5004804779305 0, 99.43002673952256 26.50021098736793 0, 99.43056572412742 26.50021098295412 0, 99.43056572838925 26.49994149205138 0, 99.43083521919343 26.49994148812119 0, 99.43083522258448 26.49886351417152 0, 99.43110471293772 26.49886351038415 0, 99.43110471738234 26.49751604131983 0, 99.43137420949824 26.49751603670796 0, 99.43137421335996 26.49724654697086 0, 99.43164370257837 26.49724654439798 0, 99.43201028005048 26.49616192182933 0, 99.43268521257315 26.49477202964399 0, 99.4326251627857 26.49265038474849 0, 99.43150053152141 26.49366017690878 0, 99.431196290475 26.4950756660656 0, 99.43001877711939 26.49516729860537 0, 99.42975722493441 26.49562956816862 0, 99.42975722353987 26.49643804520461 0, 99.42921823929287 26.49643804783015 0, 99.42921823448151 26.49670753909368 0, 99.42840976120749 26.49670753879321 0, 99.42814014462439 26.49672448464585 0, 99.42823351062856 26.49838338402273 0, 99.42867924582407 26.49859401509896 0, 99.42867925016043 26.49886351037998 0, 99.42948772984798 26.49886351373534 0, 99.42948773026231 26.49940248511052 0, 99.428679249727 26.49940248926906 0, 99.42867924957076 26.50021098306639 0, 99.42894874042591 26.50021098673865 0, 99.42894874351828 26.50128896116864 0, 99.42975722375215 26.50128896533047 0, 99.42975722422057 26.50182793731564 0, 99.4294877334824 26.50182794119601 0, 99.4294877344785 26.50290592921636 0, 99.43029621338898 26.50290593302487 0, 99.43029621701541 26.50425340185943 0, 99.43110471300619 26.50425340191298 0, 99.43110471730978 26.50398391119871 0, 99.43137420923713 26.50398390739437 0, 99.43097544109533 26.50200021295988 0))"
41.4491,113.969,Hebei,0.496768561526,3.61161620274,1,Zhangjiakou,Shangyi,"POLYGON Z ((113.9654871784232 41.45257912782532 0, 113.965487183463 41.45230963683669 0, 113.9657566692616 41.45230963704728 0, 113.9679126106208 41.45174726393884 0, 113.9719550505763 41.45069266593036 0, 113.9719550541676 41.45042317520232 0, 113.9722245447565 41.4504231719737 0, 113.9722245494903 41.45015368004129 0, 113.9733025224829 41.45015367733705 0, 113.9733025265866 41.44988418564862 0, 113.9741110063567 41.44988418169862 0, 113.9741110112733 41.449614691057 0, 113.9743804817078 41.44961469117104 0, 113.9743804849513 41.44988418263334 0, 113.9751889835221 41.4498841817282 0, 113.975188983459 41.4485366994063 0, 113.9749194945723 41.44853669515299 0, 113.9749194911623 41.44772821505048 0, 113.9746499993825 41.44772821112322 0, 113.9746499954333 41.44718922527491 0, 113.9743805049942 41.44718922184841 0, 113.9743805009636 41.44691973127029 0, 113.9738415157207 41.4469197271932 0, 113.9738415109039 41.44638074095693 0, 113.9727635183217 41.44638074196901 0, 113.9727635139174 41.44665023287975 0, 113.9722245488149 41.44665023280719 0, 113.9722245441583 41.44584175284643 0, 113.9714160455861 41.44584175177715 0, 113.9714160409071 41.44611124384129 0, 113.9706884185532 41.44611124375771 0, 113.9700685726296 41.44611124693046 0, 113.970068568463 41.44638073812195 0, 113.9693409433716 41.44638073761863 0, 113.9681821111872 41.44638074086581 0, 113.9681821056577 41.44665023279023 0, 113.967912615403 41.44665023695107 0, 113.9679126107635 41.4469197268683 0, 113.9673736312759 41.44691972756605 0, 113.9668753815853 41.44708276833547 0, 113.9664660324716 41.4471036677661 0, 113.9657566599287 41.44718922574778 0, 113.9657566555742 41.44745871679912 0, 113.9654871702636 41.44745871829615 0, 113.964826579598 41.44760968514353 0, 113.9636007012869 41.44772821475152 0, 113.9636006982576 41.44799770597756 0, 113.9633312084564 41.4479977098931 0, 113.9633312026914 41.44826720038542 0, 113.9619837353988 41.44826720374087 0, 113.9619837346951 41.44907569884764 0, 113.9622532253497 41.44907570186825 0, 113.9622532298027 41.44934519269195 0, 113.9627922147855 41.44934519719946 0, 113.9627922185281 41.44961468664346 0, 113.9633312025183 41.4496146913914 0, 113.9633312033062 41.44988416806011 0, 113.9630617134349 41.4498841721809 0, 113.9630617135821 41.4506926656703 0, 113.9633312043797 41.45069267020472 0, 113.9633312083048 41.45123165580434 0, 113.9636006983921 41.45123165858807 0, 113.9636007025853 41.45150115029649 0, 113.9638701925701 41.45150115277814 0, 113.9638701979538 41.45177064439881 0, 113.9644091815971 41.45177064782851 0, 113.9644091872882 41.45230963366723 0, 113.9649481707743 41.45230963669156 0, 113.9649481754954 41.45257912787364 0, 113.9654871784232 41.45257912782532 0))"
41.5727,114.982,Hebei,0.362616599022,2.98783117655,1,Zhangjiakou,Guyuan,"POLYGON Z ((114.9833682323022 41.57519916789821 0, 114.9836377221649 41.5751991647966 0, 114.9836377272022 41.57492967293906 0, 114.9841767115793 41.57492967030828 0, 114.9841767153476 41.57412118974685 0, 114.9844462064095 41.57412118701374 0, 114.9844462059206 41.57385168086701 0, 114.9844462061668 41.57358219708718 0, 114.984446211402 41.57304321112892 0, 114.9855241836055 41.57304320802714 0, 114.9857936665907 41.57304320927201 0, 114.9860631539876 41.57304321116525 0, 114.9860631594206 41.57331270282046 0, 114.9863326679357 41.57331270337966 0, 114.9863326725161 41.57277371686983 0, 114.9871411525721 41.57277371401745 0, 114.987141156596 41.57196523302036 0, 114.9874106464445 41.57196523003058 0, 114.9874106465601 41.57169572395046 0, 114.9871411570642 41.5716957203671 0, 114.9871411573635 41.57142624355735 0, 114.9874106463856 41.57142624120341 0, 114.9874106454458 41.5708872412908 0, 114.9863365106555 41.57088723681411 0, 114.9860631774656 41.57088723706227 0, 114.9860631725661 41.57061774623901 0, 114.978786800477 41.5698092579594 0, 114.9785173104833 41.56980926172812 0, 114.9785173053058 41.57088723668097 0, 114.9779783219722 41.57088724121779 0, 114.9779783163761 41.57209997106678 0, 114.9779783170031 41.5725042039042 0, 114.9777088275147 41.57250420721569 0, 114.977708827295 41.57331270294081 0, 114.977978317057 41.57331270589675 0, 114.9779783221312 41.57385169223658 0, 114.9782478116934 41.5738516950649 0, 114.9782478153934 41.57466017572501 0, 114.9787868014092 41.57466017920693 0, 114.978786805618 41.57519916488143 0, 114.9804037684391 41.57519916806066 0, 114.9804037734232 41.57546866006359 0, 114.9812122685691 41.57546866168905 0, 114.9814817638234 41.57519916763025 0, 114.9817512415174 41.5751991676187 0, 114.9817512457358 41.57546865964642 0, 114.9820207352722 41.57546866282672 0, 114.982020740417 41.57573815396803 0, 114.9833682273722 41.57573815373488 0, 114.9833682323022 41.57519916789821 0))"
28.1917,102.501,Sichuan,0.391144916496,5.75274775955,0,LiangshanYi,Xide,"POLYGON Z ((102.4993010070506 28.19587098222168 0, 102.5003789897296 28.19371502197676 0, 102.500378990366 28.19290653589299 0, 102.5003789904893 28.19263705016824 0, 102.5006484649058 28.19263704961721 0, 102.5006484684721 28.19290654112481 0, 102.5014569487295 28.19290654466829 0, 102.5014569528896 28.19317603517909 0, 102.5022654387303 28.19317603931204 0, 102.5028044219575 28.19344553038044 0, 102.5028044256829 28.19560148688532 0, 102.503882415504 28.19560148716376 0, 102.5038824163839 28.19371501418229 0, 102.5036129327773 28.19371501093653 0, 102.5042269027344 28.19283281285483 0, 102.5034998692788 28.19231566268361 0, 102.5023486773746 28.19174181182025 0, 102.5025704121171 28.19136506291049 0, 102.504806088007 28.19205164668166 0, 102.5069252841239 28.18933630366625 0, 102.5073464656593 28.18768065703792 0, 102.5065306657 28.18730524204656 0, 102.5058135871852 28.18745027694727 0, 102.504866729968 28.18844821104609 0, 102.5048444235367 28.18977544298245 0, 102.5041189860181 28.19042878110152 0, 102.503216451415 28.19061341008145 0, 102.5017219066817 28.19051302773697 0, 102.5017264591081 28.18967259484427 0, 102.5006484725439 28.18967259192527 0, 102.4987620063718 28.19021158525079 0, 102.4987620029799 28.19048107591329 0, 102.4984925117521 28.19048107897804 0, 102.4984925074961 28.19075057020373 0, 102.4982230175679 28.19075057340677 0, 102.4982230140669 28.191289558849 0, 102.4979535234097 28.19128956225508 0, 102.497953522588 28.19209805698731 0, 102.4982230135846 28.19209806137615 0, 102.4982230143346 28.19263703185675 0, 102.4974028692846 28.19269468279704 0, 102.4973441359825 28.19169938306241 0, 102.49635621959 28.19165710733647 0, 102.4957033924357 28.19169940407325 0, 102.4952659994421 28.19193888768797 0, 102.4951101763778 28.19299113137837 0, 102.4953165438122 28.19359480894657 0, 102.4956142073434 28.1935654258277 0, 102.4958018032828 28.1924857828755 0, 102.4960542036655 28.19220941937142 0, 102.4961840612154 28.19253995598985 0, 102.4961659031113 28.19302862865406 0, 102.4967559564204 28.19375251724135 0, 102.4971903561026 28.19376242839147 0, 102.4972807985185 28.19310399397853 0, 102.4978977452956 28.19368325040526 0, 102.49728001935 28.19452772861635 0, 102.4977567382992 28.19449628511912 0, 102.4986477485752 28.19437121742826 0, 102.4982230170831 28.19587097986631 0, 102.4993010070506 28.19587098222168 0))"
36.6606,113.643,Hebei,0.023682683319,0.670426888892,0,Handan,She,"POLYGON Z ((113.6425257958658 36.65962539500785 0, 113.6421629234269 36.65951119511582 0, 113.6418277020053 36.65975103498503 0, 113.6418617835701 36.66113731286312 0, 113.6419964447024 36.6611896568321 0, 113.642790802626 36.66152949493154 0, 113.6434825553663 36.66175826509302 0, 113.6435120510061 36.66175389783864 0, 113.6434374245902 36.66114116088911 0, 113.6431981815698 36.66047269938287 0, 113.6425257958658 36.65962539500785 0))"
36.66,113.648,Hebei,0.0386636767845,1.0309011426,0,Handan,She,"POLYGON Z ((113.6488310406042 36.65880943540272 0, 113.6477530493621 36.65880943484655 0, 113.6477530447987 36.65934842074291 0, 113.6474835540839 36.65934842466208 0, 113.6473517930243 36.65970173812413 0, 113.6469445735689 36.65988741046687 0, 113.646539529777 36.6601159949646 0, 113.6464055769875 36.66123489903382 0, 113.6472140739648 36.66123489824903 0, 113.6472140782054 36.66096540574738 0, 113.6474835682892 36.66096540326092 0, 113.6474835718961 36.66069591221198 0, 113.647753063285 36.66069590891524 0, 113.6477530671568 36.66015692226402 0, 113.6491005364055 36.66015691879959 0, 113.6497590474778 36.65996823981204 0, 113.649674877571 36.65948366322563 0, 113.6491005353651 36.65907892834562 0, 113.6488310444095 36.65907892569307 0, 113.6488310406042 36.65880943540272 0))"
36.6594,113.645,Hebei,0.0460571213211,0.963103743048,0,Handan,She,"POLYGON Z ((113.6464055900869 36.65827044605535 0, 113.6447886095437 36.65827044598119 0, 113.6447886053552 36.6588094310558 0, 113.6437106319607 36.65880943268126 0, 113.642995336748 36.65932763865237 0, 113.6435009999923 36.65996661593199 0, 113.6442172962012 36.66010794061346 0, 113.6447189440865 36.6605917650895 0, 113.645202504446 36.66046240792549 0, 113.64569362121 36.65964933256406 0, 113.6461360996932 36.6596179183466 0, 113.6461360995305 36.65907894434243 0, 113.6464055898896 36.65907894114267 0, 113.6464055900869 36.65827044605535 0))"
28.3222,102.204,Sichuan,0.132113970272,1.84977028113,0,LiangshanYi,Mianning,"POLYGON Z ((102.2050129091726 28.32307242821187 0, 102.2052823841407 28.32307242801629 0, 102.2052823876421 28.32334191827368 0, 102.2063603779729 28.32334191780988 0, 102.207908427473 28.32334118867446 0, 102.2072724635027 28.32229376797291 0, 102.2072452444477 28.32226164622356 0, 102.2072066035478 28.32217404610564 0, 102.2068490154613 28.3214770049517 0, 102.2063603769 28.32145544416201 0, 102.2052824041478 28.32145544174474 0, 102.2052823997217 28.3211859512788 0, 102.2044739043823 28.32118595106466 0, 102.2041296612056 28.32130159258351 0, 102.2034827960366 28.32108579875111 0, 102.2030784271032 28.32084302962497 0, 102.2025050541909 28.32069926638597 0, 102.2023332030947 28.32110706410734 0, 102.2019321055261 28.32145444535386 0, 102.2023485786814 28.32152144137379 0, 102.2023179425973 28.32172494467707 0, 102.2023179427711 28.32199443083383 0, 102.2012399684966 28.32199443511805 0, 102.201239968721 28.32280292862593 0, 102.2011821663464 28.323455507028 0, 102.2020484533376 28.32334191831819 0, 102.2050129051423 28.32334191799711 0, 102.2050129091726 28.32307242821187 0))"
32.6587,112.071,Henan,0.0275792250301,0.754530914606,1,Nanyang,Deng,"POLYGON Z ((112.0717487304596 32.65924030620709 0, 112.071748729066 32.65816231794266 0, 112.0714792379639 32.65816231368446 0, 112.0714792345548 32.65789282334873 0, 112.0704012420887 32.65789282282968 0, 112.0704012383245 32.65843180781592 0, 112.0701317654217 32.65843180775668 0, 112.0701317614441 32.65816231836632 0, 112.0698622545086 32.65816231798982 0, 112.0698622542136 32.65950980186399 0, 112.0709402402869 32.65950980465954 0, 112.0717487304596 32.65924030620709 0))"
33.0554,111.928,Henan,0.0142935041854,0.491350274167,1,Nanyang,Neixiang,"POLYGON Z ((111.9286471081309 33.05512783763372 0, 111.9286471037845 33.05485834593676 0, 111.9275691125127 33.05485834608642 0, 111.9275691123512 33.05593633621283 0, 111.9289165973993 33.05593633629614 0, 111.928916597259 33.05512784107683 0, 111.9286471081309 33.05512783763372 0))"
