tile_path,mask_path,county,label,augment,split
D:\solar-data-china\tiles\Xuanhua_with_indices\s2_Xuanhua-0000000000-0000000000_15_11.tif,D:\solar-data-china\tiles\Xuanhua_mask\s2_Xuanhua-0000000000-0000000000_15_11.tif,Xuanhua,1,False,train
D:\solar-data-china\tiles\Heshui_with_indices\s2_Heshui-0000004864-0000000000_14_11.tif,D:\solar-data-china\tiles\Heshui_mask\s2_Heshui-0000004864-0000000000_14_11.tif,Heshui,0,False,train
D:\solar-data-china\tiles\Gushi_with_indices\s2_Gushi-0000004864-0000000000_13_11.tif,D:\solar-data-china\tiles\Gushi_mask\s2_Gushi-0000004864-0000000000_13_11.tif,Gushi,1,True,train
D:\solar-data-china\tiles\Xuanhua_with_indices\s2_Xuanhua-0000000000-0000000000_11_19.tif,D:\solar-data-china\tiles\Xuanhua_mask\s2_Xuanhua-0000000000-0000000000_11_19.tif,Xuanhua,1,False,train
D:\solar-data-china\tiles\LanpingBaiandPumi_with_indices\s2_LanpingBaiandPumi-0000000000-0000004864_11_05.tif,D:\solar-data-china\tiles\LanpingBaiandPumi_mask\s2_LanpingBaiandPumi-0000000000-0000004864_11_05.tif,LanpingBaiandPumi,0,False,train
D:\solar-data-china\tiles\Cao_with_indices\s2_Cao-0000004864-0000004864_05_06.tif,D:\solar-data-china\tiles\Cao_mask\s2_Cao-0000004864-0000004864_05_06.tif,Cao,1,False,train
D:\solar-data-china\tiles\Augmented_with_indices\s2_Xinxiang_augmentation_10_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Xinxiang_augmentation_10_1_1.tif,Augmented,1,False,train
D:\solar-data-china\tiles\Daming_with_indices\s2_Daming-0000000000-0000000000_04_06.tif,D:\solar-data-china\tiles\Daming_mask\s2_Daming-0000000000-0000000000_04_06.tif,Daming,0,False,train
D:\solar-data-china\tiles\Yongshan_with_indices\s2_Yongshan-0000004864-0000000000_05_09.tif,D:\solar-data-china\tiles\Yongshan_mask\s2_Yongshan-0000004864-0000000000_05_09.tif,Yongshan,0,False,train
D:\solar-data-china\tiles\Hanbin_with_indices\s2_Hanbin-0000004864-0000004864_04_01.tif,D:\solar-data-china\tiles\Hanbin_mask\s2_Hanbin-0000004864-0000004864_04_01.tif,Hanbin,0,False,train
D:\solar-data-china\tiles\Cao_with_indices\s2_Cao-0000000000-0000000000_10_18.tif,D:\solar-data-china\tiles\Cao_mask\s2_Cao-0000000000-0000000000_10_18.tif,Cao,1,False,train
D:\solar-data-china\tiles\Jingyang_with_indices\s2_Jingyang-0000000000-0000000000_06_13.tif,D:\solar-data-china\tiles\Jingyang_mask\s2_Jingyang-0000000000-0000000000_06_13.tif,Jingyang,0,False,train
D:\solar-data-china\tiles\Yongshan_with_indices\s2_Yongshan-0000009728-0000000000_05_13.tif,D:\solar-data-china\tiles\Yongshan_mask\s2_Yongshan-0000009728-0000000000_05_13.tif,Yongshan,0,False,train
D:\solar-data-china\tiles\Gushi_with_indices\s2_Gushi-0000004864-0000000000_19_10.tif,D:\solar-data-china\tiles\Gushi_mask\s2_Gushi-0000004864-0000000000_19_10.tif,Gushi,0,False,train
D:\solar-data-china\tiles\Cao_with_indices\s2_Cao-0000000000-0000000000_11_05.tif,D:\solar-data-china\tiles\Cao_mask\s2_Cao-0000000000-0000000000_11_05.tif,Cao,0,False,train
D:\solar-data-china\tiles\Hanbin_with_indices\s2_Hanbin-0000004864-0000004864_19_11.tif,D:\solar-data-china\tiles\Hanbin_mask\s2_Hanbin-0000004864-0000004864_19_11.tif,Hanbin,0,False,train
D:\solar-data-china\tiles\Yuanling_with_indices\s2_Yuanling-0000004864-0000000000_07_03.tif,D:\solar-data-china\tiles\Yuanling_mask\s2_Yuanling-0000004864-0000000000_07_03.tif,Yuanling,0,False,train
D:\solar-data-china\tiles\Yanjin_with_indices\s2_Yanjin-0000000000-0000004864_12_01.tif,D:\solar-data-china\tiles\Yanjin_mask\s2_Yanjin-0000000000-0000004864_12_01.tif,Yanjin,0,False,train
D:\solar-data-china\tiles\Heshui_with_indices\s2_Heshui-0000004864-0000000000_13_12.tif,D:\solar-data-china\tiles\Heshui_mask\s2_Heshui-0000004864-0000000000_13_12.tif,Heshui,1,True,train
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_21_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_21_1_1.tif,Augmented,1,False,train
D:\solar-data-china\tiles\Augmented_with_indices\s2_Nanyang_augmentation_18_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Nanyang_augmentation_18_1_1.tif,Augmented,1,False,train
D:\solar-data-china\tiles\Xuanhua_with_indices\s2_Xuanhua-0000000000-0000000000_11_04.tif,D:\solar-data-china\tiles\Xuanhua_mask\s2_Xuanhua-0000000000-0000000000_11_04.tif,Xuanhua,1,False,train
D:\solar-data-china\tiles\Xuanhua_with_indices\s2_Xuanhua-0000004864-0000000000_05_13.tif,D:\solar-data-china\tiles\Xuanhua_mask\s2_Xuanhua-0000004864-0000000000_05_13.tif,Xuanhua,1,False,train
D:\solar-data-china\tiles\Sheqi_with_indices\s2_Sheqi-0000000000-0000000000_18_10.tif,D:\solar-data-china\tiles\Sheqi_mask\s2_Sheqi-0000000000-0000000000_18_10.tif,Sheqi,0,False,train
D:\solar-data-china\tiles\Yongshan_with_indices\s2_Yongshan-0000004864-0000000000_04_19.tif,D:\solar-data-china\tiles\Yongshan_mask\s2_Yongshan-0000004864-0000000000_04_19.tif,Yongshan,0,False,train
D:\solar-data-china\tiles\Hanbin_with_indices\s2_Hanbin-0000009728-0000000000_10_16.tif,D:\solar-data-china\tiles\Hanbin_mask\s2_Hanbin-0000009728-0000000000_10_16.tif,Hanbin,0,False,train
D:\solar-data-china\tiles\Hanbin_with_indices\s2_Hanbin-0000004864-0000004864_10_03.tif,D:\solar-data-china\tiles\Hanbin_mask\s2_Hanbin-0000004864-0000004864_10_03.tif,Hanbin,0,False,train
D:\solar-data-china\tiles\Daming_with_indices\s2_Daming-0000000000-0000000000_16_17.tif,D:\solar-data-china\tiles\Daming_mask\s2_Daming-0000000000-0000000000_16_17.tif,Daming,0,False,train
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_19_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_19_1_1.tif,Augmented,1,False,train
D:\solar-data-china\tiles\Cao_with_indices\s2_Cao-0000004864-0000000000_03_15.tif,D:\solar-data-china\tiles\Cao_mask\s2_Cao-0000004864-0000000000_03_15.tif,Cao,0,False,train
D:\solar-data-china\tiles\Yanjin_with_indices\s2_Yanjin-0000000000-0000000000_11_18.tif,D:\solar-data-china\tiles\Yanjin_mask\s2_Yanjin-0000000000-0000000000_11_18.tif,Yanjin,0,False,train
D:\solar-data-china\tiles\Yuanling_with_indices\s2_Yuanling-0000004864-0000000000_04_09.tif,D:\solar-data-china\tiles\Yuanling_mask\s2_Yuanling-0000004864-0000000000_04_09.tif,Yuanling,0,False,train
D:\solar-data-china\tiles\Yuechi_with_indices\s2_Yuechi-0000000000-0000000000_19_15.tif,D:\solar-data-china\tiles\Yuechi_mask\s2_Yuechi-0000000000-0000000000_19_15.tif,Yuechi,0,False,train
