tile_path,mask_path,county,label
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_0_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_0_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_1_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_1_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_1_1_2.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_1_1_2.tif,Augmented,0
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_24_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_24_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_25_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_25_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_26_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_26_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_27_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_27_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_2_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_2_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_2_2_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_2_2_1.tif,Augmented,0
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_34_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_34_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Handan_augmentation_35_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Handan_augmentation_35_1_1.tif,Augmented,1
D:\solar-data-china\tiles\Augmented_with_indices\s2_Heze_augmentation_0_1_1.tif,D:\solar-data-china\tiles\Augmented_mask\s2_Heze_augmentation_0_1_1.tif,Augmented,1
